"구분(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"구분(1)",배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소
"전국",921783212,102607372,41387808,191256788,24899266,121955788,175273718,1878897,40927758,221595816
"서울특별시",31873910,1308155,9081579,34291,-,14549307,5634895,109238,806305,350140
"부산광역시",21222886,2367668,1686427,485578,-,5870607,9666918,23208,411857,710624
"대구광역시",11873302,689725,1689595,292985,-,5022299,1746760,135248,385193,1911496
"인천광역시",28952173,10330947,1688766,847088,294925,7572695,5907990,93262,191752,2024746
"광주광역시",5894263,126499,925450,170300,-,2357573,847358,22968,113499,1330614
"대전광역시",7001256,124960,1601285,127626,-,2735873,1080913,21682,143389,1165528
"울산광역시",27256843,3356559,637507,3771154,12825813,2754432,1904346,102278,165633,1739121
"세종특별자치시",3887410,913543,153010,126209,-,782030,325781,26945,35294,1524598
"경기도",105482091,21447496,7944357,2355297,98066,29498692,18853683,467191,1378226,23439083
"강원특별자치도",48800831,3595011,3173229,692795,-,4349355,8035470,36329,7723608,21195034
"충청북도",38170616,71452,1998292,1185357,-,5628003,2435904,170244,248098,26433265
"충청남도",123759045,45720087,1802515,32279799,3845537,7403592,8338796,124861,586785,23657074
"전북특별자치도",32673088,999022,1408554,811977,48731,5256954,4517501,131496,372598,19126256
"전라남도",152603653,5050369,1477703,91912933,5943784,5478822,15141320,104615,523298,26970808
"경상북도",160501163,726514,4115064,55400983,1837100,10071735,13952431,161679,25027620,49208037
"경상남도",53659446,4741006,1793327,759248,5310,9303428,15674261,121881,2723315,18537670
"제주특별자치도",24135166,1038360,211149,3167,-,3320390,17173322,25769,91286,2271722
"바다",44036069,-,-,-,-,-,44036069,-,-,-
"수도권",166308174,33086598,18714701,3236677,392992,51620694,30396568,669692,2376284,25813970
"수도권 대기관리권역",160395696,33030021,18365335,3223822,392992,50859404,29899502,661545,2283566,21679510
"중부권 대기관리권역",170199551,47821859,6044327,34149354,3894267,17680955,13064283,435914,1058055,46050536
"남부권 대기관리권역",129680065,5159655,1779868,91970846,5943784,4988540,9364830,63155,306591,10102795
"동남권 대기관리권역",166927290,11279176,6686283,60201396,14668223,24716070,23862101,410291,1527518,23576232
